Sample_ID	1,3-Dihydroxyacetone	1,3-Dimethylurate	2-Hydroxyisobutyrate	2-Hydroxyisovalerate	2-Oxoisocaproate	3-Hydroxybutyrate	3-Phenylpropionate	Acetate	Acetoacetate	Acetoin	Acetone	Alanine	Arabinose	Arginine	Aspartate	Betaine	Butyrate	Cadaverine	Caprate	Choline	Dimethylamine	Ethanol	Formate	Fucose	Fumarate	Galactose	Glucose	Glutamate	Glutamine	Glycerol	Glycine	Isobutyrate	Isoleucine	Isopropanol	Isovalerate	L-Malic acid	Lactate	Lactose	Lactulose	Leucine	Lysine	Malonate	Mannose	Methanol	Methionine	Methylamine	Methylsuccinate	N-Acetylaspartate	N-Acetylglutamate	N-Methylhydantoin	N,N-Dimethylglycine	Nicotinate	Oxalacetic acid	Phenylacetate	Phenylalanine	Propionate	Pyruvate	Ribose	Serine	Succinate	Threonine	Trimethylamine	Tyrosine	Uracil	Urocanate	Valerate	Valine	Xanthine	Xylose
A10_07	0.0393	0.0073	0.0718	0.361	0.0213	0.2146	0.0796	45.7057	0.1472	0.077	0.1142	2.6745	0.0346	0.0243	1.4654	0.0013	7.7425	0.1379	0.0639	0.043	0.0502	0.65	0.1823	0.0461	0.1752	0.2886	0.8236	6.4086	0.5676	0.7458	1.1787	2.3819	1.3115	0.119	2.196	1.3144	0.0352	0.0536	0.0078	1.4744	0.7411	0.6952	0.0245	0.8669	0.6302	0.1134	0.5988	0.0773	0.299	0.0117	0.0319	0.0723	0.8202	0.9555	0.3639	11.0033	0.0605	1.1342	1.9838	0.2285	1.356	0.011	0.508	0.1999	0.1028	2.9109	1.7947	0.1395	0.2776
A11_07	0.0722	0.0147	0.0653	1.182	0.0358	1.5435	0.1736	47.5674	0.2336	0.1707	0.6272	6.07	0.0777	0.02	4.9441	0.0085	7.5835	0.2983	0.0639	0.0869	0.0565	1.4912	0.2298	0.0229	0.0879	0.2617	0.6506	9.2258	0.7132	0.6776	3.0598	2.9614	2.5001	0.4963	3.4037	0.3782	0.5415	0.1325	0.0141	1.3688	1.5622	0.4654	0.0245	1.37	1.1883	0.5337	0.0312	0.4869	0.4574	0.0152	0.0236	0.0544	2.6458	0.9013	1.1353	9.5478	0.0817	1.2847	3.4455	0.1996	3.0253	0.0243	1.0138	0.1673	0.2339	4.0169	4.0082	0.025	0.1392
A04_07	0.0797	0.0105	0.031	0.1339	0.0221	0.099	0.1018	44.69	0.0227	0.0873	0.0644	2.3358	0.474	0.0848	1.4561	0.0067	10.5055	0.1942	0.0081	0.0439	0.0225	0.4782	0.0659	0.129	0.1303	0.2795	3.7328	5.248	0.3723	1.2101	0.8494	0.7533	1.0326	0.0707	0.7445	1.1948	0.1519	0.0691	0.01	1.5227	0.5493	0.0657	0.0245	0.8159	0.4631	0.1513	0.0817	0.0625	0.1895	0.0051	0.0115	0.1449	0.0916	0.2672	0.4209	10.3544	0.0836	1.1515	1.0856	0.3347	1.186	0.0013	0.3208	0.1124	0.1439	1.9904	1.3837	0.0788	0.1406
A07_07	0.1938	0.0181	0.0445	0.3139	0.03	0.0439	0.221	44.2241	0.0867	0.0519	0.0926	2.3611	0.0917	0.02	2.5995	0.0066	11.4187	0.259	0.0639	0.0675	0.0164	0.7777	0.0785	0.0229	0.1486	0.0277	3.0496	3.6166	0.4797	1.4473	0.917	1.5224	0.929	0.187	1.222	0.7487	0.0708	0.1257	0.0937	1.118	0.9995	0.0876	0.0245	1.1371	0.5949	0.0725	0.0364	0.0555	0.1894	0.0289	0.014	0.1948	1.0875	0.7245	0.6071	12.4597	0.0508	0.5097	2.1842	0.1944	0.8439	0.0024	0.7311	0.1394	0.0835	2.2166	1.2967	0.1479	0.0959
A05_14	0.0671	0.0033	0.0572	0.3918	0.0813	0.2331	0.0799	45.4843	0.125	0.0806	0.0891	2.6916	0.0924	0.0285	1.6239	0.0059	8.1686	0.2161	0.0639	0.0191	0.0684	0.6333	0.187	0.0229	0.4471	0.1579	0.7873	5.2398	0.4228	4.9441	1.2067	1.7823	1.1223	0.1193	1.6734	0.7423	0.063	0.0755	0.0848	1.2236	0.5076	0.2675	0.1169	1.057	0.5226	0.1029	0.2655	0.2459	0.3519	0.0115	0.0344	0.0908	1.7237	0.7144	0.4819	11.0668	0.0595	0.7624	1.4594	0.2567	1.3406	0.0122	0.523	0.1407	0.1094	0.7018	1.6153	0.093	0.1644
A11_14	0.0692	0.0046	0.1177	1.2417	0.0397	1.1258	0.1157	46.7686	0.2441	0.1361	0.4976	4.6434	0.0885	0.02	4.3953	0.0085	6.487	0.0986	0.0639	0.025	0.0525	1.7897	0.22	0.0229	0.0644	0.1527	0.7987	6.98	0.5442	1.6781	2.1615	1.4973	1.8811	0.1995	2.3849	0.2732	1.0692	0.0147	0.0141	2.9529	0.8521	0.6554	0.0245	1.6351	0.8404	0.2867	0.0394	0.5189	0.49	0.0125	0.0228	0.0495	3.629	0.5022	0.5299	12.2915	0.1055	1.0017	1.5386	0.1796	2.8646	0.0274	0.5023	0.0555	0.1024	2.9386	3.0396	0.0141	0.1115
A02_14	0.0487	0.0113	0.0594	0.385	0.0287	0.0636	0.0984	47.5048	0.0716	0.0782	0.1116	2.1916	0.0277	0.0177	0.9891	0.0064	7.6612	0.2062	0.0639	0.1646	0.0714	0.3961	0.1565	0.033	0.2495	0.1389	1.4254	5.5576	0.2899	0.8871	0.9484	1.3842	0.9056	0.1709	1.0232	1.5851	0.261	0.0401	0.0195	0.962	0.9289	0.2162	0.0196	0.4979	0.4037	0.0955	0.0631	0.0632	0.2313	0.0123	0.0018	0.0802	0.9772	0.352	0.2729	9.0843	0.0415	1.7169	0.8674	0.2475	0.7709	0.0135	0.3751	0.343	0.0393	2.0013	1.516	0.1165	0.1115
A04_14	0.0432	0.0322	0.0443	0.1781	0.0859	0.0812	0.1033	44.5226	0.0719	0.1133	0.0804	2.0299	0.1126	0.0326	1.0997	0.01	8.0431	0.2567	0.0081	0.0248	0.0205	0.3756	0.0895	0.0229	0.2019	0.2072	2.2246	8.2917	0.6184	1.1405	0.9692	0.9106	0.8806	0.0722	0.6936	1.7643	0.0416	0.0792	0.0218	0.7694	0.5645	0.1287	0.0245	0.8555	0.4378	0.1336	0.143	0.0644	0.2668	0.0103	0.0159	0.2672	0.811	0.345	0.4544	11.3935	0.1091	1.2947	1.1632	0.4148	1.0778	0.012	0.404	0.1966	0.1387	1.8343	1.39	0.2155	0.1115
A10_14	0.0364	0.0031	0.0487	0.2316	0.03	0.5084	0.1627	45.3412	0.3293	0.1577	0.1339	1.7686	0.1382	0.0071	1.1415	8e-4	5.9705	0.1275	0.0639	0.0253	0.0333	0.3479	0.0842	0.0229	0.1063	0.2264	0.6927	4.4942	0.2697	0.3505	0.7393	1.8833	0.7308	0.1257	1.25	1.1073	0.0326	0.0849	0.0141	0.702	0.518	0.797	0.0245	0.6945	0.3968	0.0699	0.3804	0.1334	0.2622	0.0097	0.0169	0.0906	2.5331	0.7943	0.2541	10.02	0.0826	0.8218	0.8188	0.2106	0.824	0.0079	0.2647	0.1216	0.0878	2.1643	1.0596	0.0768	0.0991
A07_14	0.1099	0.0181	0.0242	0.2089	0.0282	0.0469	0.0967	45.1151	0.226	0.0428	0.1007	2.314	0.1126	0.02	1.4368	0.003	5.1382	0.1864	0.0639	0.0262	0.0253	0.8419	0.121	0.0229	0.0415	0.1887	2.7021	4.4408	0.3324	1.4592	0.7389	1.6385	0.7183	0.159	0.9458	0.259	0.0458	0.0503	0.0141	0.7593	0.6768	0.0445	0.0879	1.1033	0.4949	0.0503	0.018	0.1296	0.3209	0.0129	0.0213	0.1519	0.1741	0.5257	0.3962	10.8704	0.0179	0.7924	1.4162	0.1781	0.6761	0.0067	0.4994	0.1739	0.0548	2.1802	0.8615	0.1121	0.2556
A08_14	0.0418	0.0456	0.2082	0.6817	0.0749	0.2707	0.1927	44.8802	0.3128	0.2558	0.2787	5.6295	0.1593	0.02	5.3027	0.0063	9.2484	0.222	0.0639	0.0628	0.0812	1.7192	0.3029	0.0229	0.1957	0.6028	1.1505	7.492	1.1016	10.1606	2.7949	2.1645	2.7095	0.3312	2.3479	1.3732	0.1186	0.0991	0.0141	2.8583	0.3947	0.4581	0.0453	3.2263	1.1349	0.275	0.9265	0.2125	0.6192	0.0323	0.0162	0.0495	2.2527	1.0052	0.9899	13.202	0.0304	0.4997	2.9236	0.2049	3.2716	0.028	0.9077	0.198	0.1981	2.5846	3.8656	0.1944	0.4556
A02_28	0.0687	0.033	0.0542	0.2643	0.03	0.0524	0.1355	44.8802	0.1062	0.1273	0.148	2.314	0.1126	0.02	0.9669	0.1868	8.2696	0.1864	0.0639	0.0608	0.1101	1.4352	0.318	0.0229	0.2817	0.1322	1.2105	6.6943	0.5406	0.6433	0.9843	1.6385	0.9583	0.2978	1.25	1.5076	0.2302	0.0116	0.0141	0.8939	0.8797	0.3579	0.0245	1.1371	0.4342	0.1541	0.1323	0.1904	0.7957	0.0167	0.0026	0.0317	0.1741	0.4784	0.3495	9.2144	0.0304	1.293	1.0004	0.7962	1.062	0.0268	0.3456	0.1936	0.0406	2.1802	1.2047	0.1353	0.1115
A10_28	0.0261	0.0156	0.039	0.2171	0.03	0.0617	0.0936	44.7839	0.1094	0.1074	0.1047	1.3936	0.0781	0.0071	0.8673	3e-4	9.2482	0.0732	0.0639	0.0254	0.0427	0.4242	0.0981	0.0271	0.0583	0.2419	0.6576	2.957	1.4333	0.4008	0.5892	2.0048	0.5022	0.1257	1.8583	0.5622	0.0326	0.0532	0.0141	0.457	0.6596	0.9369	0.0245	1.0042	0.2905	0.0793	0.3804	0.0623	0.1415	0.0113	0.019	0.068	0.2793	0.97	0.2541	8.8182	0.043	0.3285	0.8514	0.1198	0.5371	0.0161	0.2694	0.1133	0.098	3.0119	0.7131	0.0766	0.2061
A11_28	0.022	0.0092	0.0972	0.6053	0.03	0.4983	0.0802	45.7694	0.1928	0.2358	0.2284	1.9306	0.0425	0.02	1.6795	0.0057	5.4777	0.0989	0.0639	0.018	0.0364	0.3517	0.0914	0.0229	0.0617	0.0706	0.3173	3.4738	0.2306	0.696	0.9068	1.7754	0.8625	0.1315	1.8657	0.5566	0.1029	0.0569	0.0141	1.1808	0.3594	0.3154	0.0245	0.7118	0.4197	0.106	0.0228	0.3255	0.3019	9e-4	0.018	0.0317	1.2899	0.5957	0.3296	10.2527	0.0716	0.6499	0.8987	0.1035	1.1163	0.0179	0.2662	0.0414	0.081	1.6281	1.2047	0.004	0.0574
A04_28	0.0593	0.0224	0.0301	0.1083	0.0256	0.0286	0.2575	45.4981	0.0242	0.0473	0.0365	0.8784	0.1126	0.0325	0.3981	0.0127	12.4954	0.0868	0.0081	0.0324	0.0106	0.4405	0.042	0.0229	0.0559	0.126	2.2977	1.898	0.2296	0.4601	0.2726	0.5737	0.3703	0.1585	0.3512	0.4303	0.0439	0.0737	0.01	0.4439	0.5422	0.125	0.0573	1.0879	0.2389	0.1924	0.0841	0.0388	0.0649	0.0033	0.0069	0.1215	0.1364	0.1728	0.2192	11.9627	0.009	0.477	0.5113	0.1116	0.3759	0.0022	0.2549	0.0738	0.069	1.4734	0.4928	0.0705	0.1699
A05_28	0.1072	0.0034	0.0469	0.1578	0.099	0.0984	0.1023	44.8878	0.1191	0.0998	0.0858	2.7318	0.2089	0.0314	1.1663	0.0014	9.508	0.2294	0.4117	0.0287	0.0134	0.3265	0.1043	0.0229	0.4744	0.1691	3.5207	5.6529	0.3165	1.9717	1.1911	1.4915	1.0365	0.0599	1.2811	1.3203	0.0487	0.0634	0.0848	1.208	0.7004	0.3688	0.442	0.8933	0.4191	0.1105	0.2321	0.144	0.2121	0.0129	0.0483	0.0854	1.261	0.5962	0.3976	9.9448	0.0517	1.0148	1.7022	0.3751	1.2841	0.0109	0.4191	0.2237	0.0958	1.0047	1.5507	0.1741	0.4681
A07_28	0.1115	0.0097	0.0126	0.1595	0.03	0.0689	0.0843	44.8802	0.0701	0.0266	0.054	1.7656	0.0797	0.02	1.4617	0.0041	5.3514	0.048	0.0639	0.0203	0.0112	0.9077	0.0785	0.0229	0.0239	0.0552	1.409	3.0849	0.4035	1.9391	0.9252	1.4937	0.8127	0.1943	1.0232	0.1801	0.0589	0.0328	0.0141	0.8673	0.7257	0.0564	0.0245	1.0767	0.4622	0.1058	0.0283	0.1252	0.2228	0.0077	0.0174	0.1362	0.8069	0.5902	0.4116	11.4329	0.0304	0.536	1.4666	0.1865	0.7388	0.0036	0.4766	0.1569	0.06	1.3751	0.9555	0.1995	0.1416
A08_28	0.0611	0.032	0.0445	0.1427	0.0204	0.0687	0.2573	45.4512	0.1386	0.0727	0.0809	1.6032	0.1089	0.02	1.1848	0.0043	7.0325	0.1304	0.0639	0.026	0.0266	0.6397	0.0953	0.053	0.1245	0.1072	0.7782	3.6321	0.4298	0.5583	0.8847	1.4951	0.7619	0.2921	1.3958	1.1007	0.0431	0.0198	0.0141	0.7434	0.3947	0.222	0.0451	0.9931	0.3624	0.0523	0.322	0.0776	0.2414	0.0064	0.0049	0.062	1.9451	0.7148	0.3114	9.1971	0.0721	0.6732	0.9051	0.3048	0.8785	0.0147	0.3472	0.2281	0.0469	1.8279	1.0218	0.2361	0.6341
A01_00	0.0531	0.0098	0.0377	0.1037	0.0669	0.0603	0.2965	45.2803	0.0421	0.1869	0.0511	1.8194	0.3766	0.0169	0.8842	0.0018	9.2316	0.3976	0.1587	0.2455	0.0211	1.0637	0.1041	0.1051	0.1949	0.1322	2.378	4.4652	0.4348	2.3944	0.4968	1.4041	0.934	0.1611	0.7288	0.7981	0.0785	0.2395	0.1851	1.114	0.0669	0.1186	0.0373	1.1303	0.3673	0.1702	0.0706	0.0937	0.1692	0.012	0.1168	0.1661	1.7636	0.6198	0.3498	16.5298	0.0227	1.0189	0.9248	0.2463	0.6889	0.0393	0.4011	0.2393	0.0594	2.459	1.114	0.1905	0.1115
A06_00	0.0197	0.002	0.0429	0.1856	0.03	0.0766	0.1261	44.8802	0.2027	0.1478	0.1193	2.314	0.0714	0.02	0.9283	0.0015	8.2696	0.0781	0.0639	0.0152	0.0509	0.3755	0.0643	0.0229	0.1762	0.0409	0.2862	3.0563	0.2831	0.4917	0.6276	2.1517	0.7303	0.2017	2.0077	0.7333	0.0209	0.0766	0.0141	0.9168	0.439	0.0923	0.0245	0.5395	0.3323	0.0534	0.0923	0.0943	0.111	0.012	0.0235	0.0319	0.1741	0.7259	0.3495	10.9404	0.0425	0.3509	0.8187	0.0932	0.8696	0.0082	0.339	0.0965	0.0776	2.1802	1.0357	0.0582	0.1007
A09_00	0.0212	0.0029	0.0504	0.2436	0.0214	0.1335	0.1927	45.915	0.0957	0.0544	0.0981	2.2845	0.0349	0.02	1.5062	9e-4	14.1358	0.0751	0.3841	0.0265	0.0254	0.3025	0.0354	0.0589	0.036	0.2978	0.6323	3.4422	0.508	2.0022	0.8066	1.8163	0.8741	0.0735	1.7453	0.3259	0.0726	0.0156	0.0141	0.9489	0.6288	0.1032	0.0245	0.6651	0.4114	0.0404	0.0976	0.0555	0.187	0.0058	0.0115	0.0524	1.5291	0.6214	0.4619	8.6063	0.0499	0.456	1.0173	0.054	0.88	0.0072	0.4183	0.0907	0.0487	1.9212	1.0415	0.0362	0.2238
A12_00	0.0305	0.0048	0.0487	0.1846	0.0627	0.0505	0.0463	44.9382	0.0801	0.087	0.0464	1.4353	0.0909	0.02	1.3869	0.0098	10.2968	0.2099	0.1497	0.0379	0.0193	0.2473	0.0626	0.0229	0.0498	0.1322	1.0339	2.5599	0.4596	0.1718	0.5864	1.3888	0.5347	0.0467	1.4208	0.3803	0.0474	0.1587	0.0168	0.5829	0.8176	0.4795	0.0562	0.6775	0.3094	0.2465	0.0742	0.0232	0.083	0.0345	0.0137	0.1076	1.0309	0.715	0.3371	17.5213	0.0868	0.5764	0.8403	0.1212	0.6302	0.003	0.3216	0.134	0.0385	2.7911	0.7241	0.0909	0.1014
A15_00	0.0291	0.0016	0.0288	0.2587	0.0336	0.0435	0.2064	46.094	0.1141	0.0568	0.0541	0.5597	0.1126	0.0106	0.2947	6e-4	8.606	0.0642	0.0639	0.0237	0.0214	0.2024	0.0578	0.0229	0.0643	0.0202	1.1837	0.7769	0.402	0.6071	0.4563	0.9824	0.2057	0.0461	0.6402	0.1786	0.008	0.0317	0.0141	0.0795	0.2144	0.5894	0.0245	0.5141	0.1006	0.0664	0.0996	0.0558	0.0384	0.0048	0.0112	0.0639	0.6331	0.3375	0.1129	12.8138	0.0037	0.4234	0.1843	0.0893	0.3615	0.0026	0.1087	0.0826	0.0251	0.8199	0.2574	0.0517	0.1547
A20_00	0.0522	0.0086	0.0233	0.0503	0.0124	0.1201	0.2332	44.5585	0.12	0.083	0.1058	1.669	0.0264	0.0707	0.785	0.0024	8.3215	0.0717	0.0996	0.0174	0.0528	1.3163	0.1225	0.0877	0.1282	0.1477	0.3931	4.4723	0.3397	1.3551	0.7994	2.0465	0.6561	0.1676	1.6905	0.7143	0.1289	0.0199	0.0141	0.5899	0.237	0.3669	0.0441	1.1945	0.4043	0.0812	0.2671	0.1304	0.2958	0.0089	0.005	0.1602	1.399	0.9562	0.3765	11.7191	0.0632	0.5823	0.7117	0.295	0.7218	0.0105	0.3917	0.2233	0.0804	2.2529	0.9905	0.2334	0.1393
A01_07	0.0492	0.0071	0.0478	0.5025	0.0566	0.0409	0.262	46.2858	0.0157	0.0104	0.1306	2.2068	0.0439	0.0169	1.3805	0.0017	12.4442	0.3976	0.5303	0.1475	0.0211	0.496	0.1013	0.0901	0.187	0.1322	2.2889	4.518	0.4176	3.3436	0.7518	2.6022	1.2457	0.1139	2.0082	0.9775	0.1321	0.026	0.0586	1.3199	0.0669	0.0713	0.508	0.6893	0.4957	0.0465	0.0442	0.0227	0.147	0.0044	0.0054	0.1661	0.6322	0.6198	0.4932	17.3135	0.0043	0.9665	1.0774	0.2467	0.7508	0.0776	0.5071	0.2121	0.0707	3.9824	1.4376	0.1647	0.1115
A06_07	0.024	0.0144	0.0332	0.1778	0.0639	0.1651	0.1927	44.665	0.5508	0.0692	0.1433	1.5612	0.0569	0.02	0.9568	8e-4	12.0131	0.0501	0.0639	0.0121	0.0723	0.8179	0.1161	0.0229	0.1252	0.0227	0.1548	3.3372	0.2107	0.1217	1.0779	3.324	0.9021	0.1829	2.9911	0.8193	0.0395	0.0439	0.0141	0.499	0.6997	0.0949	0.0245	0.8988	0.4573	0.0886	0.1596	0.0304	0.1381	0.0098	0.1713	0.0059	1.2925	1.607	0.4373	12.0173	0.0304	0.2557	1.0097	0.1585	0.9042	0.0086	0.5045	0.1875	0.054	2.9409	1.1356	0.1501	0.0737
A09_07	0.0501	0.0101	0.0202	0.2516	0.0411	0.1308	0.0999	44.9458	0.1418	0.0821	0.0915	2.0639	0.3632	0.02	1.5735	8e-4	8.9876	0.051	0.3841	0.0242	0.0229	0.3614	0.0337	0.0987	0.044	0.3868	2.5324	3.3272	0.3908	2.0771	0.7174	1.1564	0.7608	0.0644	0.7797	0.3623	0.118	0.055	0.0316	0.9489	0.491	0.1032	0.0245	0.688	0.3722	0.0588	0.0436	0.0875	0.159	0.0041	0.0043	0.0606	0.4257	0.2396	0.3377	8.6063	0.0237	1.1221	1.2284	0.0937	0.8659	0.0044	0.3345	0.0718	0.0437	1.3741	1.1884	0.0403	0.6772
