Genus	Frequency	Average	St. Dev.	Median	Interq. Range	Phyla	Class	Order	Family
Ruminococcus 1	96.36363636363636	1.008593060243383	0.5127829465530157	1.0469106226213367	0.6813379477930306	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Erysipelotrichaceae UCG-003	96.36363636363636	0.9581577730379379	0.7986844536026182	0.6625055367092163	1.125967652763641	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae
Ruminococcaceae UCG-014	94.54545454545455	0.9181595425244569	0.8696887498608573	0.591979087762829	0.946393482107724	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Dialister	81.81818181818183	0.873447996206253	0.7722795680468172	0.7652987292874305	0.9570915907626067	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae
Lachnospiraceae ND3007 group	96.36363636363636	0.8409973353493615	0.5711241786115646	0.774180292151773	0.6488321785753564	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Ruminococcaceae NK4A214 group	96.36363636363636	0.7596776251543778	0.773029093050563	0.3956033447234327	1.1291351070605098	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Clostridium sensu stricto 1	80	0.7569420005148954	1.0796742469242389	0.3318685095337666	0.789655087236368	Firmicutes	Clostridia	Clostridiales	Clostridiaceae 1
Lachnospira	98.18181818181819	0.6834898381269778	0.4426858272206485	0.5482674294709075	0.6350657464821331	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Ruminococcaceae UCG-005	92.72727272727272	0.6721181501230722	0.6669940572403223	0.40628402864149693	0.48655369146032257	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Collinsella	89.0909090909091	0.628874876689073	0.6700443981660995	0.5369978397537598	0.5854337387597933	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae
Terrisporobacter	49.09090909090909	0.6133005553353249	1.1903766630418653	0.051639470735209594	0.42156552202389347	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae
Streptococcus	87.27272727272727	0.6028053963327002	0.5196627099479625	0.5384592668721166	0.8405330096412906	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae
Megamonas	14.545454545454545	0.5957611163602707	1.5536280948149346	0	0	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae
Parabacteroides	98.18181818181819	0.5768100944280632	0.4290282689862188	0.44797698518354845	0.659921785798179	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae
[Ruminococcus] gauvreauii group	90.9090909090909	0.5712019929438368	0.702154475056337	0.3490827926570754	0.2059770645375596	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
[Eubacterium] ruminantium group	43.63636363636363	0.5313708467338727	1.108159491910576	0.05101231505782596	0.4531394563944533	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Intestinibacter	38.18181818181819	0.5125195174174547	1.1851757717810008	0.02829356660472398	0.6193334010577676	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae
[Eubacterium] xylanophilum group	85.45454545454545	0.5057767247316401	0.4811998272792084	0.40426920030925934	0.5720913125678456	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
CAG-56	76.36363636363637	0.49998435042778977	0.4574319707852448	0.3778823204371464	0.6742214063165777	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Coprococcus 3	98.18181818181819	0.4336252301710651	0.4244336889669505	0.31272200413345536	0.1895670569691234	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Coprococcus 1	96.36363636363636	0.4219015625536516	0.2573001860643641	0.33774786782823074	0.2971348745445847	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
[Eubacterium] eligens group	72.72727272727273	0.41050381695067134	0.7816819184912739	0.1682940626092299	0.38071438830486026	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Ruminiclostridium 5	89.0909090909091	0.36065408116884745	0.33453160206763205	0.24116961692497735	0.39988364189855485	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
[Eubacterium] ventriosum group	90.9090909090909	0.34949119249358745	0.24494062144003959	0.3288437637594982	0.3969944990808397	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Lachnospiraceae UCG-001	83.63636363636363	0.34798326934752677	0.38472317843014303	0.20917632836928016	0.28533180494846133	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Lachnospiraceae FCS020 group	94.54545454545455	0.3187432519965516	0.17790459584748083	0.2873846498328788	0.17349557206619118	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Akkermansia	76.36363636363637	0.30491631122076307	0.5149212844858757	0.06858515698099066	0.24336035758055446	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae
Barnesiella	90.9090909090909	0.30475312308437985	0.2637929582909274	0.23020033088784708	0.36828553712113465	Bacteroidetes	Bacteroidia	Bacteroidales	Barnesiellaceae
Butyricicoccus	89.0909090909091	0.28169937586495736	0.24837479473017926	0.221884459485709	0.1525612142951133	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Turicibacter	69.0909090909091	0.2746976598880308	0.45648586083926046	0.04035058147237643	0.22891809866488635	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae
Lachnoclostridium	85.45454545454545	0.26199783730932047	0.28165046864397825	0.1508219151995474	0.18126896064828307	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Sutterella	72.72727272727273	0.2589740023813047	0.3861332824803058	0.07860869426909212	0.37813635826666664	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae
Phascolarctobacterium	54.54545454545454	0.24739503874529198	0.44538213966257717	0.034329305451683806	0.30574727431732257	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae
Marvinbryantia	89.0909090909091	0.2257017267054783	0.10927656447680441	0.19994023728779078	0.17688247557975556	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Ruminiclostridium 9	81.81818181818183	0.21949333528952414	0.16081367769648833	0.21575888740612092	0.20831010224193328	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Tyzzerella 3	41.81818181818181	0.2181594246716522	0.33587595274581306	0	0.38263455294183546	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Family XIII AD3011 group	87.27272727272727	0.2109208875547554	0.16944305101412788	0.16508873096301965	0.19932191941056182	Firmicutes	Clostridia	Clostridiales	Family XIII
Odoribacter	87.27272727272727	0.2015949465600084	0.23066692255530286	0.13342780447459127	0.1452958141880226	Bacteroidetes	Bacteroidia	Bacteroidales	Marinifilaceae
Megasphaera	14.545454545454545	0.1782251908523836	0.4605243745565197	0	0	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae
Butyrivibrio	16.363636363636363	0.16929490048614848	0.4856114967705207	0	0	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Ruminococcaceae UCG-010	67.27272727272727	0.1660722043772337	0.2433751923709711	0.042965627340095985	0.2157689261534323	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Paraprevotella	38.18181818181819	0.14626843892533045	0.2283074449199773	0	0.2576837418698181	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae
Ruminococcaceae UCG-003	70.9090909090909	0.14289172295784466	0.12190973739854606	0.12450979306940466	0.22209060212438428	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Ruminiclostridium 6	60	0.1425903119518737	0.21465538865838113	0.0735811609772193	0.11647941111999655	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Ruminococcaceae UCG-004	83.63636363636363	0.1376947714659668	0.1382136292395265	0.10435672814226898	0.10045967169498052	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Ruminococcaceae UCG-013	96.36363636363636	0.13743835412390937	0.08459300036816834	0.10823451078666302	0.0804193824847457	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Negativibacillus	47.27272727272727	0.12836513413403752	0.25275192911712874	0.008113237740942575	0.09063648735346415	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Lactobacillus	47.27272727272727	0.1248745779747489	0.21155028188248948	0.03996721584094076	0.09111593942796023	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae
Ruminococcaceae UCG-008	29.09090909090909	0.12092846713629041	0.2151778807508594	0	0.1681332661390913	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Adlercreutzia	90.9090909090909	0.11509903721877757	0.09080093031900398	0.0852240869651131	0.08663453851537539	Actinobacteria	Coriobacteriia	Coriobacteriales	Eggerthellaceae
Solobacterium	14.545454545454545	0.09701450436347919	0.2570466147040414	0	0	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae
Parasutterella	43.63636363636363	0.08947579897707574	0.1511838801915062	0.004427942242380923	0.13031592422121127	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae
Family XIII UCG-001	72.72727272727273	0.0882073815895506	0.07079172942455611	0.07527283863466933	0.09883497118010937	Firmicutes	Clostridia	Clostridiales	Family XIII
Bilophila	90.9090909090909	0.0863510302466226	0.04830411177409097	0.09503993164866165	0.06869778982426189	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae
Lachnospiraceae UCG-004	69.0909090909091	0.08329301033150824	0.07229451965989661	0.06788712838491903	0.04608345775116686	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Mitsuokella	18.181818181818183	0.0778048580074949	0.19826691994253748	0	0.035189667753410224	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae
Alloprevotella	12.727272727272727	0.06911246049984483	0.18096465671546044	0	0	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae
Holdemania	16.363636363636363	0.06632872292867949	0.23676219351157937	0	0.0024334496582355146	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae
Desulfovibrio	27.27272727272727	0.06593174382476205	0.0993774778875737	0	0.10942545378083236	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae
Lachnospiraceae UCG-008	74.54545454545455	0.06592867559457612	0.05070387147251515	0.055528736132068574	0.08074110226315145	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Senegalimassilia	30.909090909090907	0.06227641831358169	0.11549510717782353	0	0.0580049451358108	Actinobacteria	Coriobacteriia	Coriobacteriales	Eggerthellaceae
Enterorhabdus	29.09090909090909	0.05947574939317347	0.11469661329913691	0	0.07377668382817301	Actinobacteria	Coriobacteriia	Coriobacteriales	Eggerthellaceae
Mogibacterium	16.363636363636363	0.05803718712192871	0.17527328416825483	0	0	Firmicutes	Clostridia	Clostridiales	Family XIII
Slackia	32.72727272727273	0.050947978892424625	0.08817158552048367	0	0.08637505559919592	Actinobacteria	Coriobacteriia	Coriobacteriales	Eggerthellaceae
Lactococcus	21.818181818181817	0.05020950722241103	0.09790297802779305	0.003758039073583693	0.04371386884559901	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae
Anaerosporobacter	29.09090909090909	0.04895471966818249	0.09162107243203743	0	0.035274982549598544	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Anaeroplasma	20	0.047927053651860944	0.11808662340123341	0	0	Tenericutes	Mollicutes	Anaeroplasmatales	Anaeroplasmataceae
Erysipelatoclostridium	65.45454545454545	0.04642923825667603	0.05974160882318321	0.02268784906168657	0.0610567208448808	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae
Acidaminococcus	40	0.043642525878091164	0.07720997404242837	0	0.06007134612320601	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae
Butyricimonas	38.18181818181819	0.037560015829111074	0.07046546993537156	0.005504157955215552	0.03957485278573256	Bacteroidetes	Bacteroidia	Bacteroidales	Marinifilaceae
Libanicoccus	7.2727272727272725	0.03632551469331856	0.13591763038062077	0	0	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae
Veillonella	29.09090909090909	0.03632360917574009	0.07745599455876502	7.924633564943958e-4	0.021120964907504224	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae
Prevotella 2	7.2727272727272725	0.03520901627355406	0.13174007582098743	0	0	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae
Tyzzerella	12.727272727272727	0.024124579408494988	0.054646041147884024	0	0	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Merdibacter	20	0.02350079388485612	0.07796164549339535	8.572212316554656e-4	0.0039875336888418236	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae
Asteroleplasma	9.090909090909092	0.020910039254556242	0.07752303527822126	0	0	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae
Oscillibacter	29.09090909090909	0.019968157347494662	0.0470749838234589	7.819341924183659e-4	0.01633390193029903	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
[Eubacterium] oxidoreducens group	38.18181818181819	0.019478281956741235	0.035163785557370944	0.00229389365509015	0.024234966960527123	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
[Bacteroides] pectinophilus group	12.727272727272727	0.019096658449425995	0.048796336351600675	0	0	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Lachnospiraceae NK4B4 group	21.818181818181817	0.017491016423437186	0.030709549817189562	0	0.023496978772868653	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
[Eubacterium] nodatum group	10.909090909090908	0.01673272689194451	0.060785407183692554	0	0	Firmicutes	Clostridia	Clostridiales	Family XIII
Moryella	47.27272727272727	0.016235606226535314	0.01672577143252909	0.010740866044221163	0.023844295569037367	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Prevotellaceae UCG-003	9.090909090909092	0.015797109134588542	0.04767417347548817	0	0	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae
Oribacterium	12.727272727272727	0.015578441318514592	0.05060128056707397	0	0	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Lachnospiraceae UCG-003	9.090909090909092	0.015566441392381836	0.05425863853562145	0	0	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Methanobrevibacter	9.090909090909092	0.014530430000113928	0.0416367652589735	0	0	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae
Enterococcus	5.454545454545454	0.013277362764157731	0.033556587564497864	0	0	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae
Olsenella	21.818181818181817	0.013274709961620213	0.030731066692577424	0	0.003785366135033022	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae
UBA1819	30.909090909090907	0.012834521157289286	0.026112527426407812	5.080887732704659e-4	0.016652054183235683	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Coprobacter	30.909090909090907	0.01264523762386682	0.019386472413881167	0	0.02517423846190598	Bacteroidetes	Bacteroidia	Bacteroidales	Barnesiellaceae
Haemophilus	20	0.012275580427291356	0.031091978592778274	0	0.007797059909428127	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae
[Ruminococcus] gnavus group	3.6363636363636362	0.01189880328338956	0.04452124519906458	0	0	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Fournierella	9.090909090909092	0.011457942141330214	0.04072518459363101	0	0	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Brachyspira	10.909090909090908	0.009883110121678912	0.027641025526570898	0	0	Spirochaetes	Brachyspirae	Brachyspirales	Brachyspiraceae
Erysipelotrichaceae UCG-004	18.181818181818183	0.00940789792864935	0.01896246542943506	0	0	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae
Eggerthella	14.545454545454545	0.009189548638556238	0.0282778848459227	0	4.122702623962797e-4	Actinobacteria	Coriobacteriia	Coriobacteriales	Eggerthellaceae
Howardella	18.181818181818183	0.007464186373375914	0.01654385376902576	0	0	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Klebsiella	1.8181818181818181	0.007309232125586383	0.027348642374345693	0	0	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae
Eisenbergiella	3.6363636363636362	0.0067690342444031455	0.025327406981896804	0	0	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Oxalobacter	21.818181818181817	0.006602403001424558	0.010879987852413765	0	0.010475325672864428	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae
GCA-900066575	18.181818181818183	0.006359887644819664	0.00822046717509466	0.001780398524405703	0.00962652878723512	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Allisonella	16.363636363636363	0.006204059390124223	0.012036789877948685	0	0.006461034857860126	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae
Lachnospiraceae UCG-010	25.454545454545453	0.006157680156202247	0.008379668988532743	0.001664173048638231	0.008732470119392618	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Acetitomaculum	10.909090909090908	0.006065185309123289	0.013690643841772527	0	0	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
CAG-352	3.6363636363636362	0.005270661280403491	0.017317895435068273	0	0	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Defluviitaleaceae UCG-011	16.363636363636363	0.005069270740318591	0.012669931917832033	0	0	Firmicutes	Clostridia	Clostridiales	Defluviitaleaceae
Raoultibacter	7.2727272727272725	0.005000909981088733	0.01871169177133219	0	0	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriales Incertae Sedis
Vibrio	3.6363636363636362	0.004895477607111693	0.018317199950435886	0	0	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae
Actinomyces	18.181818181818183	0.004531662449124363	0.006162022744641337	0.001155201293825449	0.007763196808394657	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae
[Eubacterium] brachy group	14.545454545454545	0.004334478585331323	0.008251517641794603	0	0.00339939971348779	Firmicutes	Clostridia	Clostridiales	Family XIII
Escherichia-Shigella	14.545454545454545	0.004147305312170805	0.007113421807065607	9.701525634202591e-4	0.00450245277858182	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae
Phocea	1.8181818181818181	0.004081244942134732	0.015270620284972206	0	0	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Peptococcus	21.818181818181817	0.0037643505134621765	0.00749654731443938	0	0.004675018002175156	Firmicutes	Clostridia	Clostridiales	Peptococcaceae
Hydrogenoanaerobacterium	5.454545454545454	0.003719170014606736	0.013915859957821445	0	0	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Prevotellaceae NK3B31 group	5.454545454545454	0.0035346132513899993	0.013225311781452446	0	0	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae
[Clostridium] innocuum group	7.2727272727272725	0.002066256394656596	0.006268863650751459	0	0	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae
Leuconostoc	5.454545454545454	0.0019814776066283237	0.004660636183902648	0	0	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae
Faecalitalea	5.454545454545454	0.001773073446104307	0.0066342333569089085	0	0	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae
DTU089	7.2727272727272725	0.0017691786275905164	0.003814608963964298	0	0	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Ruminiclostridium	3.6363636363636362	0.0015138905981108785	0.004034844326387743	0	0	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Granulicatella	3.6363636363636362	8.630695737855918e-4	0.002294424990427178	0	0	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae
[Eubacterium] fissicatena group	1.8181818181818181	8.42299579712098e-4	0.003151596444306359	0	0	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Dielma	3.6363636363636362	7.525263599604549e-4	0.0025413082169961966	0	0	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae
Tyzzerella 4	1.8181818181818181	6.784941213624491e-4	0.0025386925410785023	0	0	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Ruminococcaceae UCG-009	1.8181818181818181	6.081028488402261e-4	0.0022753125162813105	0	0	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
