Metabolite	Average	St_Dev	Median	Interq. Range	Class
Isopropanol	0.0014003434027054504	7.934245087053977e-4	0.001238995847932061	0.0010310390387107482	Alcohol
Caprate	0.0013406109028001514	0.0013989478035498538	7.053237369927614e-4	7.341518569628977e-4	Fatty acid
Fumarate	0.0012966767120711365	9.017138863008284e-4	0.001098305346988445	0.0010087448176608325	Carboxylic acids
Methylamine	0.001261323039843973	7.321544303388974e-4	0.001016191136309809	8.101633316509435e-4	Amines
Arabinose	0.0012528556063142406	0.00114420769725368	9.1257561763331e-4	7.90796926104799e-4	Saccharide
Acetoacetate	0.001245979276763784	9.566756431826013e-4	9.438815950199978e-4	8.489277445894541e-4	Ketones
Xanthine	0.0012139253952593424	6.533638166348958e-4	0.0011941443498358997	8.505008269370738e-4	Organoheterocyclic compounds
N-Acetylaspartate	0.0012052819767725267	9.668979575976585e-4	9.228689692546467e-4	8.668762189199335e-4	Amino acids derivative
Acetone	0.001089078354062641	7.911126377489243e-4	8.786085465054539e-4	5.946155232962724e-4	Ketones
Nicotinate	0.0010300523580313138	5.926476322113036e-4	8.235143961800786e-4	7.971028832976863e-4	Organoheterocyclic compounds
Formate	0.001024486752455763	5.888630995023712e-4	8.965341952679827e-4	6.428996874487686e-4	Carboxylic acids
Lactate	9.535145027131413e-4	0.0012479932503388607	6.57475302862481e-4	7.31976676317311e-4	Hydroxy acids
Acetoin	8.793221657665371e-4	4.983633266634625e-4	7.905739642290754e-4	6.386632871024365e-4	Ketones
Urocanate	7.212370481410578e-4	3.7305134939387435e-4	6.383667993408412e-4	5.360446169378537e-4	Organoheterocyclic compounds
Mannose	6.836639668150183e-4	9.411327674743074e-4	2.891278981597842e-4	3.4821052154394166e-4	Saccharide
Lactose	6.42118711366711e-4	5.997959705635774e-4	5.92366652454033e-4	6.79007445373905e-4	Saccharide
1,3-Dihydroxyacetone	5.936512256155776e-4	3.731862483315599e-4	4.994397106986691e-4	3.7757537829537626e-4	Ketones
Choline	5.054661330929518e-4	6.32403591357476e-4	2.8135825484213253e-4	2.325069569195886e-4	Quat. ammonium salts
2-Hydroxyisobutyrate	4.892712403610453e-4	2.729160200046744e-4	4.2569694730454946e-4	2.1902275474985325e-4	Hydroxy acids
Fucose	4.392732093656095e-4	3.447033362471575e-4	2.649947392294869e-4	3.3417035367291057e-4	Saccharide
Pyruvate	4.372490969808827e-4	2.7197054482334926e-4	4.157834939201874e-4	3.482472756884713e-4	Ketones
2-Oxoisocaproate	3.840725804784933e-4	2.6580889986588355e-4	3.01331931033138e-4	2.73241124064129e-4	Ketones
Dimethylamine	3.320551069469528e-4	2.118603928235726e-4	2.7643340922534954e-4	2.993760510236994e-4	Amines
Lactulose	3.1317213540123294e-4	3.5103665677393303e-4	1.5607092850839077e-4	2.1950237435038695e-4	Saccharide
Arginine	2.79402692573945e-4	2.0850133658909727e-4	2.0384679674422942e-4	1.0592967626023577e-4	Amino acids (non-essential)
N,N-Dimethylglycine	2.4491737091947383e-4	3.5849624410392694e-4	1.3420859016704712e-4	1.7758501053597597e-4	Amino acids derivative
Trimethylamine	1.4147918789027543e-4	1.256191196544243e-4	1.1074728667057233e-4	1.4523996152915195e-4	Amines
1,3-Dimethylurate	1.3196352425087987e-4	1.2738593958466955e-4	9.666607102125147e-5	1.2485571723228227e-4	Organoheterocyclic compounds
N-Methylhydantoin	1.2402966904474978e-4	1.0872886044902721e-4	9.610900019078314e-5	6.855741703953282e-5	Organoheterocyclic compounds
Betaine	8.128815505816784e-5	2.4838540132437716e-4	3.771179708204775e-5	5.462042261780826e-5	Amino acids derivative
